steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
10205	785	8670.57816696167	2.2640064789618677	2.2709122642629214	0.17994207705110193	2.438475160502912	1.9771820321311504	0.768342	1.4503102	0.1435307380463928	0.16691782347857953	6426	0.0029671992114842505
10309	793	8757.91687655449	2.294763728728414	2.305854044146997	0.09189810236060696	2.4232287344240993	2.1916577143654625	0.7150603	1.4500517	0.21706803011707962	0.09628704000264406	6489	-0.07958060957453217
10400	800	8837.646019935608	2.333351013243751	2.3015367900848442	0.06396787895659185	2.4142689278482754	2.268064114268055	0.73112684	1.4496995	0.2641932217031717	-0.0029393658600747586	6552	0.3485770029085926
10504	808	8925.080337762833	2.34862945252622	2.3269637151710025	0.04556012481023683	2.4296081344923035	2.322946567070206	0.7354314	1.4494442	0.27604577884078024	0.004250900456681848	6615	0.5487336566552987
10608	816	9012.796255588531	2.281558871440155	2.3261869489762548	0.1193775480939427	2.3800577373822858	2.0890776214506475	0.7331285	1.4492346	0.26755506165325643	0.020837825126945972	6678	0.5763370049493822
10712	824	9100.58389210701	2.294492010931928	2.306599837063872	0.04913899536514384	2.340718578581696	2.216721895032819	0.7367867	1.4493675	0.2397284794598818	0.04263626342639327	6741	0.4986834020509118
10803	831	9182.125411510468	2.209966641122625	2.13762160354219	0.15003744054190077	2.4056893516936273	2.0471835812696115	0.7431737	1.4496802	0.2548530026525259	0.02457056490238756	6804	0.5429479032251114
10907	839	9270.715868473053	2.2764980240558494	2.28955193390641	0.07733363703736108	2.386749742945375	2.2011689113598325	0.74144304	1.4503132	0.2696504122018814	0.03319183265790343	6867	0.6110691222445638
11011	847	9358.667575597763	2.3844886261726024	2.44411268860524	0.1377647908002306	2.501439444846037	2.171410693910311	0.7366175	1.450734	0.258313222900033	0.04588263461366296	6930	0.5255007883897256
11102	854	9439.245181322098	2.238489788245376	2.234007093776594	0.06906161450278123	2.314012353678242	2.1557935559469605	0.740183	1.451007	0.25790846019983293	0.03467658072710037	6993	0.517040413815355
11206	862	9527.580232143402	2.3371396972603673	2.2821530068486724	0.12414086149202158	2.474214359769985	2.1976582026201736	0.73398584	1.4512755	0.2611473187059164	0.018810161501169206	7056	0.4628747080035761
11310	870	9631.480983495712	2.2650369161820256	2.2854176048515398	0.11965310671236368	2.3852066321790377	2.0664337064221856	0.7869929	1.4514709	0.2589992060139775	0.030345168989151718	7119	0.6932526193203609
11401	877	9724.621874570847	2.2908594218344454	2.2937986049187042	0.10717870564519848	2.416353839113102	2.172082468254613	0.77765256	1.4517534	0.25100376788526774	0.03523384829983115	7182	0.5988546839402749
11505	885	9827.473736763	2.269370457971559	2.270119367852277	0.1459573279875223	2.446651672470778	2.0514009907855666	0.77895	1.4518964	0.2599371622502804	0.026912285089492796	7245	0.5825710589220219
11609	893	9915.954405784607	2.2190885442311203	2.1170874684060434	0.17829321342748924	2.4871301014264353	2.0679246319491567	0.7807436	1.4522978	0.24887304216623307	0.018085258305072783	7308	0.48055924120791216
11700	900	9997.057490110397	2.2179822354875105	2.206808921266335	0.12871892813216987	2.4041308980566525	2.043703672138971	0.778828	1.4524394	0.22527780801057815	0.0356853261590004	7371	0.602768795182068
11804	908	10086.17765712738	2.27249552164738	2.2816059169114187	0.10582002580884987	2.3788509315136697	2.1240815922254956	0.7735746	1.4526186	0.24133399624377488	0.04003818960860372	7434	0.6421250120324696
11908	916	10184.598814964294	2.313355226794894	2.3947765746366034	0.1991637967222205	2.531923418537315	2.0211910792632937	0.77669823	1.4530162	0.25346774764359	-0.004472333323210478	7497	0.5328283100421299
12012	924	10272.152279376984	2.2972352031454037	2.3146774228000635	0.05869706607292714	2.3550551587789212	2.204089450675394	0.77416956	1.4537648	0.2571696957945824	0.0010449773259460927	7560	0.5558729174267707
12103	931	10353.276820659637	2.2707842599022863	2.253783625115105	0.12674335218873542	2.449717897305097	2.1427012423789455	0.7622139	1.4546688	0.2361805985122919	0.031074984967708587	7623	0.7217913371309623
12207	939	10440.147518157959	2.246329338854355	2.150562031858955	0.1805004670283724	2.4600118037562337	2.085517329956209	0.7560791	1.4559109	0.24331231288611888	0.019324380327016114	7686	0.6356801260878723
12311	947	10528.12892484665	2.405291573069412	2.3772289988776385	0.08591154384783066	2.5393122014397247	2.3178408939936865	0.7614125	1.4570867	0.26208618104457854	0.0369941898714751	7749	0.5443813579676126
12402	954	10608.464792728424	2.2674450413108276	2.3111448935667176	0.14382738162751274	2.4014334693689467	2.023772636537391	0.76393956	1.4581672	0.25159096479415893	0.04176420513540506	7812	0.5871658683960908
12506	962	10695.334413290024	2.2175591057889337	2.2229850966735403	0.06419139185962497	2.291231032111081	2.1147613154993103	0.7613725	1.4596423	0.26028754748404026	0.06260446794331073	7875	0.6482376536552603
12610	970	10782.811132669449	2.273596784346523	2.276879880008978	0.12206989645233486	2.4385947196910216	2.099270019751097	0.7573522	1.4608427	0.2578286667913198	0.06214808974415064	7938	0.6124763641576684
12701	977	10863.933736085892	2.294061736198551	2.28168005928444	0.10237553729391458	2.4001179875797516	2.14735178538269	0.762238	1.4619327	0.27215373441576957	0.009474560245871544	8001	0.5136044577126437
12805	985	10951.574203014374	2.3496536539173003	2.348439955258514	0.05121275465231822	2.4103313793783734	2.2716774079085433	0.77026457	1.4629565	0.2550143014639616	0.025720366314053535	8064	0.3959701348287512
12909	993	11038.276116371155	2.362113854473868	2.388450310035969	0.08613707296455352	2.4765347558946162	2.2743484958003988	0.76462847	1.4635154	0.2105552552640438	0.07131495224311948	8127	0.5822432909732267
13000	1000	11127.691851139069	2.301443355016695	2.30466595757981	0.045860273629465986	2.358423281510774	2.233338982346793	0.7642865	1.463872	0.25114744015038015	0.029202044904232026	8190	0.4108021856086429
13104	1008	11215.341372728348	2.211737247769431	2.328866608222812	0.29264982714456483	2.3813435064610715	1.6898004182622337	0.77584994	1.4640784	0.2534424256533384	0.022803791407495735	8253	0.5611800052377423
13208	1016	11302.061337947845	2.218388034543056	2.234388629618182	0.12833881787200394	2.3218844370365703	2.0053818426238346	0.7776592	1.4641992	0.24901349328458308	0.03975856693461537	8316	0.62136213302702
13312	1024	11388.19267630577	2.050031142362215	2.072366001957609	0.35995858016003873	2.3608189513947284	1.4568464939697476	0.7804569	1.4645402	0.2285486575961113	0.02687388373538852	8379	0.46624898804193327
13403	1031	11469.243420600891	2.234910580256368	2.297189722107252	0.21813272941595654	2.432837883037494	1.8618315957649731	0.7768699	1.464822	0.2312378779798746	0.00755794569849968	8442	0.6678985897682752
13507	1039	11556.638567447662	2.261775733537616	2.292908926869865	0.18979414762438251	2.4148324290949708	1.9480420829554368	0.7791804	1.4650136	0.25033754512667655	0.024856833023950458	8505	0.5383872280975046
13611	1047	11642.880459308624	2.2793951740072615	2.2934723219929647	0.0962639206606356	2.369785552319432	2.1231191370697973	0.7805744	1.4652278	0.2563487943261862	0.030816685650497676	8568	0.43971417571064764
13702	1054	11722.746415615082	2.281168727748859	2.328214024455095	0.07667023058822177	2.3458742740052543	2.189095702979113	0.7748406	1.4655324	0.23087387926876546	0.021733096707612275	8631	0.5978413684603401
13806	1062	11808.626817464828	2.0909397196180626	2.0834363152652333	0.21080964369559463	2.3935575642832645	1.826351743906094	0.76574886	1.4659138	0.22464320696890355	0.02830723186954856	8694	0.6366288125736337
13910	1070	11893.596606492996	2.1435534151522426	2.2230871901812987	0.35497841112859274	2.469150797447076	1.5381862847193999	0.77254725	1.4663502	0.22317874033004045	0.04954340401105583	8757	0.5527036136284047
